=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.03.08 13:11:02 =~=~=~=~=~=~=~=~=~=~=~=
(), ()
1,0
2,91
3,0
4,0
5,148
6,148
7,0
8,0
9,0
10,0
11,0
12,0
13,154
14,191
15,153
16,0
17,152
18,151
19,154
20,154
21,155
22,0
23,157
24,160
25,160
26,0
27,0
28,149
29,156
30,157
31,162
32,0
33,0
34,157
35,0
36,155
37,155
38,162
39,0
40,0
41,189
42,0
43,0
44,0
45,0
46,150
47,164
48,163
49,149
50,0
51,150
52,0
53,155
54,157
55,57
56,156
57,0
58,153
59,149
60,149
61,154
62,147
63,0
64,0
65,0
66,0
67,147
68,147
69,148
70,147
71,147
72,148
73,31
74,40
75,48
76,55
77,58
78,62
79,66
80,71
81,77
82,81
83,85
84,88
85,94
86,98
87,155
88,104
89,110
90,116
91,0
92,152
93,151
94,153
95,152
96,153
97,152
98,152
99,151
100,152
101,153
102,153
103,154
104,0
105,152
106,152
107,152
108,94
109,153
110,154
111,0
112,0
113,152
114,150
115,161
116,0
117,0
118,0
119,0
120,0
121,138
122,150
123,151
124,0
125,156
126,150
127,0
128,143
129,0
130,0
131,142
132,142
133,142
134,141
135,140
136,141
137,141
138,142
139,143
140,142
141,143
142,142
143,143
144,143
145,143
146,160
147,135
148,159
149,143
150,143
151,143
152,143
153,143
154,142
155,142
156,142
157,144
158,145
159,159
160,130
161,150
162,157
163,158
164,160
165,0
166,0
167,0
168,0
169,0
170,0
171,139
172,0
173,150
174,141
175,0
176,0
177,0
178,0
179,155
180,155
181,156
182,0
183,0
184,0
185,160
186,155
187,139
188,155
189,154
190,155
191,155
192,141
193,0
194,141
195,0
196,0
197,0
198,136
199,139
200,140
201,139
202,0
203,154
204,154
205,154
206,155
207,135
208,140
209,139
210,139
211,139
212,139
213,140
214,138
215,140
216,140
217,139
218,139
219,139
220,140
221,141
222,140
223,140
224,140
225,140
226,0
227,0
228,139
229,0
230,0
231,0
232,140
233,0
234,140
235,0
236,139
237,139
238,137
239,139
240,141
241,154
242,140
243,141
244,156
245,62
246,41
247,36
248,29
249,33
250,37
251,39
252,45
253,51
254,53
255,56
256,62
257,59
258,60
259,61
260,61
261,61
262,62
263,62
264,62
265,63
266,62
267,63
268,59
269,58
270,57
271,56
272,54
273,53
274,49
275,51
276,44
277,41
278,38
279,38
280,38
281,40
282,45
283,49
284,55
285,59
286,63
287,68
288,66
289,67
290,67
291,67
292,67
293,67
294,73
295,69
296,70
297,0
298,74
299,71
300,71
301,71
302,71
303,71
304,71
305,71
306,71
307,71
308,71
309,70
310,70
311,70
312,71
313,71
314,71
315,71
316,71
317,71
318,71
319,71
320,71
321,71
322,71
323,71
324,71
325,71
326,71
327,71
328,70
329,70
330,70
331,70
332,71
333,71
334,71
335,71
336,71
337,71
338,70
339,70
340,71
341,71
342,71
343,71
344,71
345,71
346,71
347,72
348,69
349,67
350,66
351,67
352,66
353,0
354,67
355,68
356,68
357,74
358,66
359,66
360,67
361,69
362,70
363,71
364,72
365,72
366,73
367,73
368,72
369,73
370,72
371,72
372,72
373,71
374,73
375,71
376,70
377,69
378,67
379,66
380,65
381,64
382,63
383,62
384,57
385,44
386,39
387,39
388,47
389,51
390,57
391,62
392,63
393,61
394,57
395,60
396,55
397,58
398,57
399,56
400,56
401,56
402,55
403,52
404,51
405,50
406,45
407,46
408,41
409,38
410,34
411,34
412,29
413,0
414,23
415,157
416,157
417,141
418,155
419,141
420,157
421,156
422,113
423,156
424,141
425,143
426,158
427,0
428,0
429,0
430,0
431,160
432,0
433,139
434,0
435,0
436,159
437,160
438,140
439,139
440,140
441,171
442,170
443,139
444,140
445,139
446,139
447,171
448,98
449,139
450,139
451,139
452,140
453,170
454,170
455,171
456,0
457,0
458,170
459,172
460,158
461,0
462,157
463,162
464,161
465,172
466,161
467,144
468,142
469,0
470,168
471,162
472,167
473,168
474,169
475,113
476,168
477,171
478,170
479,170
480,169
481,170
482,170
483,172
484,171
485,171
486,169
487,169
488,169
489,169
490,162
491,160
492,160
493,160
494,160
495,160
496,160
497,160
498,161
499,161
500,0
501,163
502,162
503,162
504,162
505,160
506,159
507,160
508,163
509,159
510,159
511,159
512,160
513,168
514,159
515,159
516,159
517,161
518,162
519,169
520,170
521,171
522,0
523,171
524,179
525,171
526,0
527,0
528,169
529,0
530,143
531,159
532,140
533,141
534,142
535,143
536,0
537,0
538,0
539,65
540,158
541,158
542,160
543,158
544,157
545,142
546,142
547,156
548,156
549,156
550,67
551,157
552,156
553,155
554,159
555,139
556,151
557,0
558,0
559,101
560,0
561,147
562,155
563,0
564,0
565,146
566,135
567,134
568,84
569,152
570,135
571,153
572,153
573,135
574,135
575,154
576,155
577,153
578,151
579,153
580,153
581,153
582,0
583,0
584,154
585,135
586,148
587,0
588,0
589,151
590,150
591,158
592,158
593,161
594,142
595,162
596,30
597,56
598,36
599,43
600,48
601,55
602,59
603,64
604,69
605,72
606,75
607,82
608,80
609,79
610,76
611,76
612,78
613,81
614,85
615,87
616,87
617,88
618,88
619,87
620,87
621,84
622,83
623,83
624,82
625,84
626,161
627,83
628,163
629,85
630,79
631,76
632,72
633,70
634,73
635,72
636,73
637,77
638,80
639,82
640,85
641,0
642,87
643,0
644,91
645,89
646,89
647,0
648,0
649,89
650,88
651,89
652,89
653,0
654,0
655,0
656,89
657,88
658,88
659,88
660,88
661,87
662,88
663,87
664,87
665,87
666,87
667,87
668,87
669,87
670,87
671,87
672,87
673,87
674,87
675,87
676,87
677,88
678,87
679,90
680,0
681,87
682,87
683,89
684,88
685,88
686,87
687,87
688,88
689,87
690,88
691,88
692,88
693,88
694,88
695,88
696,88
697,88
698,88
699,88
700,87
701,88
702,87
703,87
704,88
705,88
706,88
707,88
708,88
709,88
710,88
711,88
712,88
713,89
714,0
715,166
716,192
717,0
718,164
719,143
720,163
721,0
722,0
723,161
724,161
725,0
726,0
727,0
728,0
729,0
730,0
731,0
732,0
733,0
734,0
735,0
736,0
737,0
738,0
739,0
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,89
750,89
751,88
752,0
753,88
754,0
755,88
756,88
757,88
758,88
759,88
760,89
761,89
762,88
763,88
764,88
765,88
766,87
767,87
768,87
769,87
770,87
771,87
772,87
773,87
774,87
775,87
776,87
777,87
778,87
779,87
780,87
781,87
782,87
783,87
784,88
785,87
786,88
787,0
788,88
789,88
790,88
791,90
792,143
793,0
794,0
795,0
796,0
797,161
798,161
799,162
800,0
801,0
802,149
803,162
804,89
805,89
806,87
807,88
808,87
809,87
810,88
811,88
812,87
813,89
814,87
815,88
816,87
817,87
818,88
819,0
820,181
821,0
822,0
823,0
824,0
825,0
826,0
827,0
828,0
829,0
830,0
831,0
832,0
833,0
834,0
835,0
836,0
837,0
838,0
839,89
840,0
841,0
842,0
843,0
844,88
845,87
846,87
847,89
848,0
849,0
850,89
851,89
852,89
853,88
854,88
855,88
856,88
857,88
858,88
859,88
860,88
861,88
862,88
863,88
864,88
865,88
866,88
867,88
868,88
869,88
870,88
871,87
872,87
873,87
874,87
875,87
876,87
877,87
878,87
879,87
880,87
881,87
882,87
883,87
884,87
885,87
886,87
887,87
888,88
889,90
890,87
891,0
892,0
893,84
894,0
895,0
896,143
897,142
898,141
899,142
900,144
901,0
902,0
903,0
904,127
905,0
906,0
907,0
908,0
909,0
910,0
911,0
912,0
913,89
914,149
915,88
916,0
917,89
918,89
919,89
920,0
921,0
922,88
923,0
924,0
925,0
926,0
927,0
928,0
929,0
930,0
931,0
932,0
933,144
934,0
935,0
936,97
937,0
938,0
939,0
940,143
941,143
942,142
943,144
944,0
945,0
946,143
947,124
948,142
949,142
950,143
951,143
952,194
953,0
954,0
955,0
956,0
957,0
958,74
959,0
960,0
961,0
962,0
963,0
964,0
965,0
966,0
967,0
968,0
969,0
970,0
971,0
972,0
973,0
974,0
975,0
976,0
977,75
978,0
979,0
980,0
981,0
982,0
983,88
984,89
985,87
986,86
987,141
988,143
989,0
990,87
991,86
992,89
993,0
994,88
995,88
996,0
997,0
998,142
999,0
1000,0
1001,0
1002,78
1003,0
1004,0
1005,0
1006,0
1007,0
1008,0
1009,0
1010,0
1011,0
1012,0
1013,0
1014,0
1015,0
1016,0
1017,0
1018,0
1019,0
1020,0
1021,60
1022,0
1023,0
1024,0
1025,0
1026,0
1027,0
1028,0
1029,90
1030,90
1031,90
1032,90
1033,76
1034,90
1035,91
1036,91
1037,91
1038,91
1039,91
1040,91
1041,91
1042,91
1043,0
1044,0
1045,0
1046,0
1047,0
1048,92
1049,89
1050,89
1051,89
1052,89
1053,89
1054,89
1055,0
1056,0
1057,0
1058,143
1059,143
1060,144
1061,142
1062,66
1063,143
1064,143
1065,0
1066,0
1067,0
1068,0
1069,89
1070,0
1071,0
1072,0
1073,57
1074,92
1075,90
1076,0
1077,142
1078,0
1079,0
1080,89
1081,90
1082,143
1083,89
1084,89
1085,0
1086,0
1087,0
1088,91
1089,88
1090,0
1091,141
1092,142
1093,142
1094,141
1095,141
1096,141
1097,142
1098,142
1099,131
1100,0
1101,141
1102,141
1103,141
1104,142
1105,140
1106,140
1107,140
1108,142
1109,142
1110,88
1111,87
1112,184
1113,0
1114,85
1115,82
1116,80
1117,79
1118,78
1119,0
1120,79
1121,79
1122,80
1123,81
1124,84
1125,141
1126,141
1127,141
1128,141
1129,72
1130,142
1131,86
1132,85
1133,87
1134,85
1135,85
1136,86
1137,85
1138,86
1139,86
1140,86
1141,85
1142,85
1143,85
1144,85
1145,85
1146,85
1147,85
1148,85
1149,85
1150,86
1151,0
1152,0
1153,0
1154,0
1155,87
1156,89
1157,87
1158,89
1159,89
1160,89
1161,89
1162,90
1163,87
1164,137
1165,90
1166,0
1167,137
1168,0
1169,160
1170,162
1171,161
1172,90
1173,90
1174,90
1175,90
1176,90
1177,90
1178,90
1179,91
1180,123
1181,138
1182,138
1183,139
1184,90
1185,160
1186,140
1187,90
1188,89
1189,88
1190,88
1191,88
1192,89
1193,90
1194,90
1195,90
1196,91
1197,143
1198,0
1199,0
1200,0
1201,0
1202,163
1203,161
1204,161
1205,161
1206,160
1207,161
1208,62
1209,0
1210,0
1211,89
1212,89
1213,88
1214,89
1215,141
1216,87
1217,87
1218,88
1219,88
1220,87
1221,141
1222,142
1223,89
1224,138
1225,90
1226,92
1227,145
1228,0
1229,0
1230,0
1231,0
1232,90
1233,145
1234,86
1235,145
1236,86
1237,87
1238,73
1239,0
1240,87
1241,0
1242,83
1243,82
1244,80
1245,78
1246,78
1247,79
1248,85
1249,84
1250,82
1251,83
1252,79
1253,77
1254,78
1255,81
1256,81
1257,82
1258,78
1259,73
1260,68
1261,66
1262,67
1263,67
1264,73
1265,78
1266,72
1267,67
1268,61
1269,66
1270,55
1271,50
1272,50
1273,36
1274,31
1275,27
1276,44
1277,0
1278,73
1279,59
1280,0
1281,0
1282,78
1283,143
1284,0
1285,0
1286,160
1287,0
1288,166
1289,0
1290,136
1291,134
1292,142
1293,134
1294,137
1295,0
1296,164
1297,0
1298,58
1299,69
1300,0
1301,0
1302,0
1303,139
1304,136
1305,141
1306,0
1307,88
1308,0
1309,0
1310,156
1311,158
1312,138
1313,176
1314,0
1315,0
1316,114
1317,157
1318,153
1319,152
1320,0
1321,0
1322,145
1323,0
1324,146
1325,0
1326,138
1327,104
1328,0
1329,0
1330,0
1
