times,amount of hands
492.65871365584115,2
492.6587136756834,2
492.6587136870412,2
492.6587137007271,2
492.65871371211534,2
492.6587137237597,2
492.6587137393055,2
492.6587137573597,2
492.65871377020636,2
492.65871378274403,2
492.65871379590664,2
492.658713808775,2
492.6587138223101,2
492.65871383509636,2
492.6587138481861,2
492.6587138611972,2
492.65871387400415,2
492.6587138856838,2
492.6587139006177,2
492.65871391432205,2
492.6587139221341,2
492.65871393080175,2
492.658713938511,2
492.6587139479307,2
492.6587139565354,2
492.65871396509687,2
492.65871397430607,2
492.65871398305046,2
492.65871399182083,2
492.65871400107557,2
492.6587140105499,2
492.6587140245551,2
492.6587140323157,2
492.6587140414584,2
492.6587140508773,2
492.6587140591884,2
492.65871406943876,2
492.658714077196,2
492.65871408744607,2
492.65871409520315,2
492.65871410407885,2
492.6587141129619,2
492.658714121823,2
492.65871413048063,2
492.65871414347725,2
492.65871415238934,2
492.6587141615164,2
492.6587141700477,2
492.65871417882323,2
492.6587141881773,2
492.6587141997301,2
492.65871420792405,2
492.6587142160272,2
492.6587142249988,2
492.6587142321932,2
492.6587142463548,2
492.6587142535572,2
492.65871426749953,2
